	mass D						
t	x	y	vx	vy	ax	ay	
3.370033E0	3.399168E-1	-1.271714E-1	1.806651E-1	-2.894302E-2	9.269309E-1	-2.433126E0
3.386717E0	3.429799E-1	-1.281706E-1	1.844917E-1	-6.214290E-2	-3.316980E-1	-2.715705E0
3.403400E0	3.460727E-1	-1.292449E-1	1.714239E-1	-1.093562E-1	-6.752501E-1	-3.306143E0
3.420083E0	3.486998E-1	-1.318195E-1	1.578003E-1	-1.811492E-1	-8.777305E-2	-3.615773E0
3.436767E0	3.513379E-1	-1.352893E-1	1.690264E-1	-2.283375E-1	2.730471E-2	-2.644287E0
3.453450E0	3.543396E-1	-1.394383E-1	1.640454E-1	-2.685297E-1	-1.486655E0	-2.032184E0
3.470133E0	3.568116E-1	-1.442492E-1	1.176838E-1	-2.975866E-1	-3.195884E0	-1.183807E0
3.486817E0	3.582664E-1	-1.493678E-1	5.549656E-2	-3.077026E-1	-2.767302E0	-2.947503E-1
3.503500E0	3.586633E-1	-1.545162E-1	2.103892E-2	-3.066394E-1	-1.417806E0	2.523307E0
3.520183E0	3.589684E-1	-1.595993E-1	1.272496E-2	-2.330536E-1	-1.335968E0	6.184283E0
3.536867E0	3.590879E-1	-1.622924E-1	-2.074518E-2	-9.027019E-2	-4.815273E-1	6.013368E0
3.553550E0	3.582762E-1	-1.626113E-1	-1.528929E-2	-2.191055E-2	5.439891E-1	2.684964E0
3.570233E0	3.585778E-1	-1.630235E-1	1.182064E-2	-1.327831E-2	-2.932412E0	2.495326E-1
3.586917E0	3.586706E-1	-1.630544E-1	-1.040321E-1	-8.911221E-3	-1.108916E1	5.583020E-1
3.603600E0	3.551066E-1	-1.633209E-1	-3.667342E-1	-5.086843E-4	-1.339584E1	1.209889E0
3.620283E0	3.464339E-1	-1.630714E-1	-5.716883E-1	3.414422E-2	-4.336829E0	1.692834E0
3.636967E0	3.360312E-1	-1.621816E-1	-5.192753E-1	5.850974E-2	8.489848E0	-1.008797E0
3.653650E0	3.291074E-1	-1.611191E-1	-2.716899E-1	7.279605E-3	1.246250E1	-3.980007E0
3.670333E0	3.269658E-1	-1.619387E-1	-8.375971E-2	-8.589301E-2	6.016474E0	-2.291118E0
3.687017E0	3.263126E-1	-1.639851E-1	-7.373133E-2	-7.799468E-2	1.483303E0	1.545301E0
3.703700E0	3.245057E-1	-1.645411E-1	-5.774186E-2	-1.844431E-2	1.850796E0	2.415295E0
3.720383E0	3.243859E-1	-1.646005E-1	5.587353E-3	-3.529328E-5	2.354780E0	7.770488E-1
3.737067E0	3.246921E-1	-1.645423E-1	1.738936E-2	6.003958E-3	8.503428E-2	2.460844E-1
3.753750E0	3.249662E-1	-1.644002E-1	7.589540E-3	8.407294E-3	-5.866755E-1	4.835480E-2
3.770433E0	3.249453E-1	-1.642618E-1	-4.158570E-3	7.359438E-3	-1.179812E0	3.540341E-2
3.787117E0	3.248274E-1	-1.641546E-1	-2.831066E-2	8.973277E-3	-1.691061E0	1.052046E-1
3.803800E0	3.240007E-1	-1.639624E-1	-6.415194E-2	1.170554E-2	-7.163987E-1	-2.783179E-2
3.820483E0	3.226869E-1	-1.637640E-1	-5.652571E-2	8.252269E-3	-3.331372E-1	-3.070773E-1
3.837167E0	3.221146E-1	-1.636870E-1	-6.276584E-2	9.219642E-4	-4.093517E-2	-2.624202E-1
3.853850E0	3.205926E-1	-1.637333E-1	-7.195323E-2	-1.256257E-3	2.594370E-1	-5.699710E-2
3.870533E0	3.197138E-1	-1.637289E-1	-4.555268E-2	1.572640E-5	6.698781E-1	5.532470E-2
3.887217E0	3.190727E-1	-1.637327E-1	-4.883399E-2	2.371453E-4	1.056696E-1	1.118449E-1
3.903900E0	3.180844E-1	-1.637210E-1	-4.766981E-2	3.513691E-3	-3.428429E-2	1.075962E-1
3.920583E0	3.174821E-1	-1.636155E-1	-4.405062E-2	4.784222E-3	-6.939408E-3	3.040882E-1
3.937267E0	3.166145E-1	-1.635614E-1	-5.184715E-2	1.162135E-2	8.622334E-2	1.091835E-1
3.953950E0	3.157521E-1	-1.632277E-1	-4.145679E-2	1.216094E-2	9.011585E-1	-5.690326E-2
3.970633E0	3.152313E-1	-1.631556E-1	-2.041836E-2	6.040792E-3	1.346186E0	-3.351741E-1
3.987317E0	3.150708E-1	-1.630262E-1	3.246742E-3	3.234398E-3	1.130608E0	-1.191849E-2
4.004000E0	3.153396E-1	-1.630477E-1	1.902274E-2	3.430477E-3	8.075818E-1	-1.291845E-1
4.020683E0	3.157055E-1	-1.629117E-1	2.828072E-2	1.823133E-3	1.335613E0	-1.646786E-1
4.037367E0	3.162832E-1	-1.629869E-1	6.119010E-2	-4.541507E-3	2.668035E0	-1.677042E-1
4.054050E0	3.177472E-1	-1.630632E-1	1.194579E-1	-3.091396E-3	3.180615E0	3.006800E-1
4.070733E0	3.202691E-1	-1.630900E-1	1.699030E-1	4.980415E-3	3.640183E0	3.608190E-1
4.087417E0	3.234163E-1	-1.628971E-1	2.351064E-1	1.073560E-2	4.645079E0	6.208689E-1
4.104100E0	3.281139E-1	-1.627318E-1	3.287513E-1	2.269221E-2	3.161467E0	1.851500E0
4.120783E0	3.343857E-1	-1.621399E-1	3.509992E-1	7.118497E-2	-2.689538E0	2.757900E0
4.137467E0	3.398255E-1	-1.603566E-1	2.377608E-1	1.210645E-1	-6.290517E0	2.695856E0
4.154150E0	3.423190E-1	-1.581004E-1	1.231903E-1	1.569794E-1	-2.579484E0	2.113483E0
4.170833E0	3.439360E-1	-1.551187E-1	1.493174E-1	1.936402E-1	1.937641E0	2.057634E0
4.187517E0	3.473012E-1	-1.516392E-1	2.059582E-1	2.245133E-1	7.241220E-1	1.715153E0
4.204200E0	3.508081E-1	-1.476275E-1	1.725823E-1	2.516925E-1	-2.586246E0	1.801091E0
4.220883E0	3.530597E-1	-1.432411E-1	1.116390E-1	2.827102E-1	-1.462027E0	1.487494E0
4.237567E0	3.545331E-1	-1.381944E-1	1.182371E-1	3.050174E-1	9.428721E-1	3.769938E-1
4.254250E0	3.570049E-1	-1.330637E-1	1.541261E-1	2.949742E-1	9.294024E-1	-8.988579E-1
4.270933E0	3.596758E-1	-1.283520E-1	1.483571E-1	2.724956E-1	3.259287E-3	-1.159621E0
